"anyo","provincia","comarca","cdmun","municipi","codi_sector","descripcio_sector","consum_kwh","observacions"
2013,"BARCELONA","BAIX LLOBREGAT","08001","ABRERA",1,"PRIMARI","237755",NULL
2013,"BARCELONA","BAIX LLOBREGAT","08001","ABRERA",3,"INDUSTRIAL","66604371",NULL
2013,"BARCELONA","BAIX LLOBREGAT","08001","ABRERA",4,"CONSTRUCCIO I OBRES PUBLIQUES","710769",NULL
2013,"BARCELONA","BAIX LLOBREGAT","08001","ABRERA",5,"TRANSPORT",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BAIX LLOBREGAT","08001","ABRERA",6,"TERCIARI","100629015",NULL
2013,"BARCELONA","BAIX LLOBREGAT","08001","ABRERA",7,"USOS DOMESTICS","17612504",NULL
2013,"BARCELONA","BAGES","08002","AGUILAR DE SEGARRA",1,"PRIMARI","38498",NULL
2013,"BARCELONA","BAGES","08002","AGUILAR DE SEGARRA",4,"CONSTRUCCIO I OBRES PUBLIQUES",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BAGES","08002","AGUILAR DE SEGARRA",6,"TERCIARI","208725",NULL
2013,"BARCELONA","BAGES","08002","AGUILAR DE SEGARRA",7,"USOS DOMESTICS","389232",NULL
2013,"BARCELONA","MARESME","08003","ALELLA",1,"PRIMARI","229764",NULL
2013,"BARCELONA","MARESME","08003","ALELLA",3,"INDUSTRIAL","396454",NULL
2013,"BARCELONA","MARESME","08003","ALELLA",4,"CONSTRUCCIO I OBRES PUBLIQUES","288808",NULL
2013,"BARCELONA","MARESME","08003","ALELLA",6,"TERCIARI","8956974",NULL
2013,"BARCELONA","MARESME","08003","ALELLA",7,"USOS DOMESTICS","18349612",NULL
2013,"BARCELONA","OSONA","08004","ALPENS",1,"PRIMARI",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","OSONA","08004","ALPENS",3,"INDUSTRIAL","290851",NULL
2013,"BARCELONA","OSONA","08004","ALPENS",6,"TERCIARI","230212",NULL
2013,"BARCELONA","OSONA","08004","ALPENS",7,"USOS DOMESTICS","440090",NULL
2013,"BARCELONA","VALLES ORIENTAL","08005","AMETLLA DEL VALLES, L'",1,"PRIMARI","300650",NULL
2013,"BARCELONA","VALLES ORIENTAL","08005","AMETLLA DEL VALLES, L'",3,"INDUSTRIAL","8433138",NULL
