"id","codimuni","nommuni","areaofi","areapol","codicomar","codiprov","validde","dataalta","habitants","altitud","nomcomar"
1,"080018","Abrera",NULL,"19.9661","11","08",NULL,"201801011500",10244,105,"Baix Llobregat"
2,"080023","Aguilar de Segarra","43.2198","43.2198","07","08","20160727","201707262100",250,480,"Bages"
3,"080039","Alella",NULL,"9.6199","21","08",NULL,"201707262100",9013,90,"Maresme"
4,"080044","Alpens","13.7788","13.7788","24","08","20171213","201801011500",307,855,"Osona"
5,"080057","l'Ametlla del Vallès",NULL,"14.0251","41","08",NULL,"201707262100",7517,281,"Vallès Oriental"
6,"080060","Arenys de Mar",NULL,"6.4728","21","08",NULL,"201707262100",14016,10,"Maresme"
7,"080076","Arenys de Munt",NULL,"21.6813","21","08",NULL,"201707262100",7721,121,"Maresme"
8,"080082","Argençola",NULL,"47.3823","06","08",NULL,"201707262100",209,716,"Anoia"
9,"080095","Argentona",NULL,"25.3179","21","08",NULL,"201707262100",11161,88,"Maresme"
10,"080109","Artés",NULL,"18.0733","07","08",NULL,"201707262100",5072,316,"Bages"
11,"080116","Avià","27.1686","27.1686","14","08","20170426","201707262100",2058,677,"Berguedà"
12,"080121","Avinyó","63.5617","63.5617","07","08","20170726","201707262100",2122,353,"Bages"
13,"080137","Avinyonet del Penedès",NULL,"29.1471","03","08",NULL,"201707262100",1591,280,"Alt Penedès"
14,"080142","Aiguafreda","7.9335","7.9335","41","08","20150429","201707262100",2373,404,"Vallès Oriental"
15,"080155","Badalona",NULL,"21.0989","13","08",NULL,"201707262100",221520,6,"Barcelonès"
16,"080168","Bagà",NULL,"43.0291","14","08",NULL,"201707262100",2178,785,"Berguedà"
17,"080174","Balenyà","17.2358","17.2358","24","08","20160505","201707262100",3479,587,"Osona"
18,"080180","Balsareny",NULL,"36.6785","07","08",NULL,"201707262100",3310,327,"Bages"
19,"080193","Barcelona",NULL,"101.7208","13","08",NULL,"201707262100",1605602,9,"Barcelonès"
20,"080207","Begues",NULL,"50.4306","11","08",NULL,"201801011500",5699,399,"Baix Llobregat"
21,"080214","Bellprat",NULL,"31.1637","06","08",NULL,"201801011500",99,653,"Anoia"
22,"080229","Berga","22.3751","22.3751","14","08","20170426","201707262100",16457,704,"Berguedà"
23,"080235","Bigues i Riells",NULL,"28.6665","41","08",NULL,"201707262100",7564,307,"Vallès Oriental"
24,"080240","Borredà","43.3751","43.3751","14","08","20160727","201707262100",530,854,"Berguedà"
25,"080253","el Bruc",NULL,"47.3828","06","08",NULL,"201707262100",1655,489,"Anoia"
26,"080266","el Brull","41.1557","41.1557","24","08","20141022","201707262100",219,843,"Osona"
27,"080272","les Cabanyes",NULL,"1.1504","03","08",NULL,"201707262100",791,252,"Alt Penedès"
28,"080288","Cabrera d'Anoia","17.0827","17.0827","06","08","20130529","201707262100",1059,299,"Anoia"
29,"080291","Cabrera de Mar",NULL,"8.9359","21","08",NULL,"201707262100",4174,104,"Maresme"
30,"080305","Cabrils",NULL,"6.963","21","08",NULL,"201707262100",6536,147,"Maresme"
31,"080312","Calaf",NULL,"9.2446","06","08",NULL,"201707262100",3352,680,"Anoia"
32,"080327","Caldes d'Estrac",NULL,"0.8469","21","08",NULL,"201707262100",2607,33,"Maresme"
33,"080333","Caldes de Montbui",NULL,"37.5127","41","08",NULL,"201707262100",15941,203,"Vallès Oriental"
34,"080348","Calders","32.9913","32.9913","42","08","20160727","201707262100",833,552,"Moianès"
35,"080351","Calella",NULL,"8.0108","21","08",NULL,"201801011500",17673,5,"Maresme"
36,"080364","Calonge de Segarra","37.1128","37.1128","06","08","20141022","201707262100",205,643,"Anoia"
37,"080370","Calldetenes","5.7153","5.7153","24","08","20160505","201707262100",2214,489,"Osona"
38,"080386","Callús","12.3870","12.387","07","08","20160505","201707262100",1577,260,"Bages"
39,"080399","Campins",NULL,"7.3028","41","08",NULL,"201707262100",363,321,"Vallès Oriental"
40,"080403","Canet de Mar",NULL,"5.5368","21","08",NULL,"201707262100",12766,15,"Maresme"
41,"080410","Canovelles",NULL,"6.8042","41","08",NULL,"201707262100",15012,175,"Vallès Oriental"
42,"080425","Cànoves i Samalús",NULL,"29.1378","41","08",NULL,"201801011500",2490,346,"Vallès Oriental"
43,"080431","Canyelles",NULL,"14.0536","17","08",NULL,"201707262100",3440,142,"Garraf"
44,"080446","Capellades","2.92","2.92","06","08","20101215","201707262100",5383,317,"Anoia"
45,"080459","Capolat",NULL,"34.3476","14","08",NULL,"201801011500",72,1279,"Berguedà"
46,"080462","Cardedeu",NULL,"12.279","41","08",NULL,"201707262100",15561,193,"Vallès Oriental"
47,"080478","Cardona","66.3923","66.3923","07","08","20160505","201707262100",5226,507,"Bages"
48,"080484","Carme","11.3250","11.325","06","08","20160505","201707262100",752,351,"Anoia"
49,"080497","Casserres",NULL,"29.1709","14","08",NULL,"201707262100",1586,611,"Berguedà"
50,"080500","Castellar del Riu",NULL,"32.8594","14","08",NULL,"201801011500",148,920,"Berguedà"
